Zipcode,Poverty Rate,Latitude,Longitude
10001,17.5846661377208,40.750742,-73.99653
10002,27.22361244786654,40.71704,-73.987
10003,7.219042427546107,40.732509,-73.98935
10004,3.8461538461538463,40.699226,-74.04118
10005,10.506912442396313,40.706019,-74.00858
10006,4.749930148086057,40.707904,-74.01342
10007,2.799886299033542,40.714754,-74.00721
10009,22.982657421725612,40.727093,-73.97864
10010,10.537757782541743,40.739022,-73.98205
10011,10.583502593125752,40.741012,-74.00012
10012,10.726953969095282,40.72596,-73.99834
10013,10.965934028832844,40.720666,-74.00526
10014,6.80631565704221,40.734718,-74.00532
10016,10.35025656974032,40.74618,-73.97759
10017,6.626800097632414,40.752159,-73.97231
10018,14.384195904928491,40.755101,-73.99337
10019,11.932583189074823,40.765714,-73.9856
10020,,40.758667,-73.98024
10021,5.417602205277549,40.76842,-73.96045
10022,4.258772356931866,40.759015,-73.96732
10023,7.903891796989304,40.776099,-73.98285
10024,7.104525567404977,40.786387,-73.97709
10025,15.22536076794304,40.798502,-73.96811
10026,25.71998503927191,40.802853,-73.95471
10027,26.059817945383614,40.812665,-73.95499
10028,5.230480525443692,40.776777,-73.9541
10029,30.96109613434571,40.791586,-73.94575
10030,29.048834664986906,40.818151,-73.94351
10031,23.094802988041423,40.826201,-73.94879
10032,25.199018754451213,40.840686,-73.94154
10033,22.016115770432496,40.848764,-73.93496
10034,22.511655275426605,40.867653,-73.92
10035,38.418254821014536,40.802395,-73.93359
10036,14.396307875539675,40.759511,-73.99019
10037,28.951095166163142,40.813385,-73.93616
10038,16.662955871220554,40.709677,-74.00365
10039,29.673197809065176,40.826181,-73.9371
10040,22.496358933113058,40.858704,-73.92853
10044,11.837588949351193,40.762174,-73.94917
10069,10.471607314725699,40.775477,-73.9905
10103,,40.760915,-73.97785
10110,,40.753987,-73.980811
10111,,40.759235,-73.97775
10112,,40.759291,-73.97979
10115,,40.810906,-73.96375
10119,,40.750824,-73.99289
10128,6.505905041199815,40.781894,-73.95039
10152,,40.758611,-73.97223
10153,,40.763742,-73.97268
10154,,40.757986,-73.97267
10162,0.0,40.769334,-73.94893
10165,,40.752354,-73.9789
10167,,40.754862,-73.97495
10168,,40.751933,-73.976794
10169,,40.754463,-73.97606
10170,,40.752859,-73.97608
10171,,40.756099,-73.97401
10172,,40.755494,-73.97447
10173,,40.754302,-73.97955
10174,,40.751656,-73.97516
10177,,40.755345,-73.97609
10199,,40.750308,-74.00058
10271,,40.708669,-74.01043
10278,,40.715721,-74.00395
10279,,40.713062,-74.00857
10280,4.175152749490835,40.707467,-74.0178
10282,5.669737774627923,40.717179,-74.01433
10301,21.629363007274847,40.631775,-74.09432
10302,20.335508927126597,40.631127,-74.13715
10303,27.13920322430631,40.629448,-74.16239
10304,19.871549995224907,40.60787,-74.08991
10305,13.117156295053295,40.599021,-74.07503
10306,9.47779567205346,40.569394,-74.11785
10307,6.665378670788254,40.508274,-74.24387
10308,6.324940047961631,40.551353,-74.15098
10309,8.270944741532977,40.529749,-74.21304
10310,17.922220347562003,40.63212,-74.11551
10311,,40.605245,-74.179485
10312,6.490549968882046,40.543117,-74.17628
10314,9.455313472654513,40.606337,-74.14513
10451,35.383499170812605,40.819729,-73.9223
10452,38.24038572509393,40.838745,-73.92234
10453,41.10686837240977,40.853017,-73.91214
10454,45.78827546955037,40.805968,-73.91628
10455,41.34827764462616,40.815559,-73.90771
10456,39.654789947922715,40.829676,-73.90856
10457,37.133266374160804,40.846745,-73.89861
10458,34.79925314419249,40.864166,-73.88881
10459,36.58860824215155,40.825432,-73.89327
10460,37.49753175804647,40.84095,-73.88036
10461,14.582230846122185,40.842917,-73.83819
10462,19.610294489064,40.842173,-73.85862
10463,15.99577288884619,40.881086,-73.90749
10464,9.032543723710427,40.857017,-73.78903
10465,11.911269737287943,40.825727,-73.81752
10466,18.650518560806862,40.89095,-73.84702
10467,29.452481551432076,40.872265,-73.86937
10468,31.887659837490503,40.867107,-73.89916
10469,13.71630506245891,40.868643,-73.84735
10470,12.637061403508772,40.900629,-73.86072
10471,8.611615245009075,40.900819,-73.90347
10472,34.2014392664384,40.830409,-73.86845
10473,28.24838879915562,40.818514,-73.85893
10474,39.40355329949239,40.81321,-73.88755
10475,9.545444271151194,40.878522,-73.82541
10501,0.645682001614205,41.289939,-73.76493
10502,2.4559530165509877,41.011324,-73.84152
10503,9.489051094890511,41.024855,-73.87513
10504,1.5524093392945852,41.129908,-73.70352
10505,2.2916666666666665,41.33431,-73.749244
10506,3.4153005464480874,41.195778,-73.62777
10507,8.500927114534303,41.236931,-73.69018
10509,4.47806201939991,41.41362,-73.59556
10510,1.8740629685157422,41.146297,-73.83311
10511,6.649053280493175,41.260283,-73.94033
10512,4.551365409622887,41.444833,-73.6845
10514,1.323459902316055,41.167455,-73.77597
10516,3.5863068284731026,41.440695,-73.9314
10517,0.0,41.300561,-73.861217
10518,9.069020866773675,41.269072,-73.60493
10519,1.6216216216216217,41.34598,-73.66199
10520,3.6784224497535076,41.215541,-73.88543
10522,2.6748047751548336,41.012729,-73.86602
10523,10.292288557213931,41.057089,-73.81658
10524,6.6930048803160584,41.363063,-73.92154
10526,4.45632798573975,41.294561,-73.66701
10527,1.218026796589525,41.319026,-73.7576
10528,6.846441947565543,40.972667,-73.71886
10530,6.433867495814399,41.025114,-73.80635
10532,3.790901835594573,41.103664,-73.7958
10533,4.763161366934952,41.039005,-73.8635
10535,0.0,41.331173,-73.80208
10536,2.190121155638397,41.265478,-73.68512
10537,5.298013245033113,41.337335,-73.88689
10538,3.060258079791642,40.933089,-73.75615
10541,2.9989156040833116,41.372419,-73.75367
10543,6.882747311050017,40.952892,-73.7346
10545,63.28125,41.119008,-73.732996
10546,0.33467202141900937,41.199502,-73.79269
10547,6.2005448177454925,41.314676,-73.85118
10548,8.570623061742317,41.248359,-73.94147
10549,7.2099747018431515,41.204027,-73.73045
10550,18.12017074620414,40.907607,-73.83709
10552,9.73125060638401,40.924195,-73.82614
10553,12.29827490261547,40.909288,-73.8215
10560,4.837398373983739,41.32797,-73.61306
10562,9.43514317008293,41.176837,-73.84741
10566,12.897857291449968,41.288258,-73.91928
10567,4.851285012994514,41.300813,-73.8908
10570,2.3783185840707963,41.132367,-73.78922
10573,11.138613861386139,41.010376,-73.67326
10576,0.9623095429029671,41.212954,-73.58409
10577,4.564118761844599,41.037203,-73.71588
10578,3.6427732079905994,41.3252,-73.66906
10579,3.75232469095285,41.390356,-73.8377
10580,3.0941934013334094,40.976579,-73.69002
10583,3.500658859799607,40.98845,-73.79716
10588,8.264164561530134,41.330178,-73.82973
10589,2.673456397199236,41.331587,-73.69234
10590,3.8030367532283242,41.256639,-73.54076
10591,10.00299619055772,41.080196,-73.85721
10594,3.0742118660661837,41.120025,-73.77687
10595,10.590485297633277,41.083848,-73.77785
10596,3.3515731874145005,41.254823,-73.958727
10597,0.0,41.289162,-73.58834
10598,2.6486286884420425,41.296874,-73.78934
10601,20.51412142736344,41.032489,-73.76454
10603,5.845058673043768,41.053182,-73.77672
10604,8.123374876714784,41.045387,-73.74451
10605,8.39953335925782,41.01002,-73.75158
10606,10.192440654528694,41.024107,-73.77808
10607,4.130052724077329,41.041191,-73.80953
10701,25.070641782710954,40.943525,-73.88176
10703,16.71350946224471,40.956546,-73.8799
10704,6.724101060092262,40.920273,-73.8612
10705,21.967875348658268,40.917281,-73.89142
10706,3.7403122542963048,40.992084,-73.8729
10707,3.87448579355209,40.958689,-73.82363
10708,3.931314957071848,40.939049,-73.83099
10709,1.6831474857984432,40.953849,-73.81143
10710,7.630819332395825,40.96555,-73.84506
